Model,Mean Accuracy Score,Mean Precision Score,Mean Recall Score,Mean F1 Score
Dummy (Stratified),0.6413793103448275,0.29653679653679654,0.18928571428571428,0.3250700280112045
Dummy (Most Frequent),0.7379310344827585,0.0,0.0,0.0
SVC,0.8413793103448274,0.7699999999999999,0.5464285714285715,0.632983682983683
KNN,0.8275862068965516,0.682034632034632,0.6464285714285715,0.6440350877192982
Logistic Regression,0.8275862068965518,0.71,0.5535714285714286,0.6058041958041958
Decision Tree,0.8068965517241379,0.6785353535353535,0.6857142857142857,0.7145112781954887
Gradient Boosting,0.8482758620689654,0.75,0.575,0.633015873015873
Random Forest,0.8206896551724139,0.72,0.6535714285714286,0.6745471521942111
