Model,Mean Accuracy Score,Mean Precision Score,Mean Recall Score,Mean F1 Score
Dummy (Stratified),0.5485221674876847,0.20277777777777778,0.08214285714285714,0.19617898441427853
Dummy (Most Frequent),0.743103448275862,0.0,0.0,0.0
SVC,0.8399014778325122,0.7211904761904762,0.6178571428571428,0.6611721611721612
KNN,0.8263546798029557,0.7266666666666666,0.5142857142857142,0.5882284382284382
Logistic Regression,0.8123152709359605,0.6446464646464647,0.5892857142857142,0.5938434114904704
Decision Tree,0.7990147783251232,0.7616666666666667,0.47857142857142854,0.5301508295625943
Gradient Boosting,0.8467980295566504,0.6694444444444445,0.6714285714285715,0.6623160173160174
Random Forest,0.8334975369458129,0.731111111111111,0.5892857142857142,0.7148051948051948
