model,Mean_Accuracy_score_df,Mean_Precision_score,Mean_recall_score,Mean_F1_score
Dummy_stratified,0.6261083743842365,0.33376623376623377,0.1392857142857143,0.16092796092796094
Dummy_most_freq,0.743103448275862,0.0,0.0,0.0
SVC,0.7982758620689655,0.6114285714285714,0.5392857142857143,0.5596180290297937
KNN,0.7847290640394088,0.5723809523809524,0.45714285714285713,0.5019047619047619
Log_reg,0.825615763546798,0.638888888888889,0.5607142857142857,0.5805844155844156
Tree,0.7428571428571429,0.62,0.26785714285714285,0.4132600732600733
GBTree,0.7980295566502463,0.6416666666666667,0.42857142857142855,0.49884615384615383
RFTree,0.7916256157635467,0.47757575757575765,0.5428571428571428,0.5123809523809524
