,Country,Poverty Headcount Ratio % Pop,Population Growth %annual,Total Population,Total Reserves,Gross Debt Position %GDP,Export Goods Services %GDP,Import Goods Services %GDP,Energy Intensity Level of Primary Energy mj per $,"Current account balance (BoP, current US$)",GDP (current US$),GDP growth (annual %),CO2 emissions (metric tons per capita),Access to electricity (% of population),"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",Population density (people per sq. km of land area),"Manufacturing, value added (% of GDP)","Industry, value added (% of GDP)","Services, value added (% of GDP)",Urban population (% of total population),Nuclear Language,Section on Nuclear,Operational Capacity (MW),Under Construction Capacity (MW),Shutdown Capacity (MW),Nuclear
10,BEN,49.6,2.69237381344614,12123198.0,,45.38692303,19.8724704276524,24.9607629492202,9.07481537036461,-580555691.729075,15651545208.8783,3.84879240030133,0.688722324311593,40.3187408447266,12.8205128205,101.853804540617,9.68791310326743,16.2905490528658,47.8973320949726,48.415,0,0,0.0,0.0,0.0,0
11,BFA,43.8,2.82323073597345,20903278.0,,44.32579084,25.3690571279328,31.3562031627096,6.03244507030799,-523837226.294833,17369059295.2226,2.02238469536866,0.21618648458803,18.3791522979736,2.6528117359,72.1910307017544,9.80208365415309,29.963441424073,41.2175086717595,30.607,0,0,0.0,0.0,0.0,0
12,BGD,14.3,1.00277418143487,164689383.0,43171735335.8001,38.85544986,12.1811153367093,18.5825249863126,3.13980502442378,1081626471.45365,324239176765.053,2.37552165571601,0.512837313770296,92.2,2.1466406468,1239.73813474687,18.9326330099565,28.7894173849569,54.631683687963,38.177,0,0,0.0,2160.0,0.0,1
13,BGR,0.9,-0.697303108247042,6927288.0,37860001348.6185,23.79095512,56.1365256810026,54.4373186023179,6.38417492583013,-537660000.0,69105101089.5531,-4.15370282988493,5.85477343393352,100.0,69.6651055934,64.7110998526161,,22.9700033518799,60.1632189715981,75.686,0,0,2006.0,0.0,1632.0,1
14,BHR,,3.61532480809725,1701583.0,2523073657.45375,132.8777002,76.8414023649251,65.5179374026193,9.78520977075594,-2434574468.08511,38474521276.5957,-5.81468342829542,19.5929758385156,100.0,3.2458563536,2012.10256410256,18.3406022749323,40.5220393693269,59.1679525917165,89.506,0,0,0.0,0.0,0.0,0
15,BIH,0.1,-0.613297985300864,3280815.0,8707117939.31002,38.34083455,34.3160365592666,48.9380537927718,8.72351247081657,-634562584.044898,19788422248.1072,-4.32734580579653,6.78113160660171,100.0,,64.92048828125,12.5000849846576,23.8713441476592,55.7305876355886,49.02,0,0,0.0,0.0,0.0,0
16,BLR,0.0,-0.201820684328915,9398861.0,7468343228.01747,48.04500528,61.9005346720542,58.7818184291798,6.47006816492061,-240799999.999994,60258239055.5829,-0.900000000246891,6.25402079970694,100.0,31.7108088762,46.7213469307321,21.4772186169272,31.300627185285,49.0748676924751,79.483,0,0,1110.0,1110.0,0.0,1
17,BOL,3.2,1.37952758307147,11673029.0,5247234668.79635,67.28995259,24.9672622840166,31.4300444441081,4.94824309303077,-176383301.321801,36688861202.6049,-7.82328995009992,2.00032766265544,96.3031005859375,1.5325670498,10.4801440044309,10.4895035412124,25.2102745511952,50.7199151225106,70.123,0,0,0.0,0.0,0.0,0
18,BRA,4.6,0.712872791114979,212559409.0,355614251456.14,98.94335608,16.870854838818,15.4834410410785,4.13022139420731,-24074023601.545,1444733258971.65,-4.05904827267295,2.04187419904738,99.8,14.480595606,25.0617146877176,9.7698900549018,17.6501088166769,62.9223836355469,87.073,0,0,1884.0,1340.0,0.0,1
19,BRN,,0.961675067594484,437483.0,3997356505.31302,2.854290052,57.3072763660453,52.8898216256886,3.65225820025726,893760724.315115,12016056665.3473,1.20300193904603,16.644908616188,100.0,,81.3965844402277,15.7689283331489,59.0957785071,41.5110014794112,78.25,0,0,0.0,0.0,0.0,0
20,BTN,1.5,1.11006114109419,771612.0,1510313610.30097,120.7434939,34.0075966646594,50.3512392601448,10.4079225807329,-381152580.869852,2409262838.21987,-6.77210161101478,1.82927799192997,100.0,0.8875739645,19.7796539066597,7.1199525437132,36.131743608331,43.3552360191017,42.316,0,0,0.0,0.0,0.0,0
21,BWA,14.5,2.05887502746375,2351625.0,4940893802.78156,20.72852054,29.663766209772,46.3675379024156,3.35102805516129,-1396883004.56261,15781732825.8934,-7.89305358895749,3.64230521985371,70.1831817626953,12.1243523316,3.97732077003158,5.40995210188683,25.034359873307,63.042727418559,70.877,0,0,0.0,0.0,0.0,0
22,CAN,0.2,1.08959148655862,38005238.0,90428136419.3486,117.8422013,28.9808222186228,30.9919734526404,7.34149141792461,-31664470398.9329,1643407977068.93,-5.40279855256868,15.4970252672198,100.0,78.8549596876,4.1341593804758,9.68457578828024,24.0278028870792,67.1166720622468,81.562,0,0,13624.0,0.0,2143.0,1
23,CHE,0.0,0.715961342750833,8636896.0,1083404341999.89,42.94908848,63.1538223677737,52.8612831572045,2.19457627268498,28094323423.3825,747968636174.008,-2.87025191142793,4.40199104356902,100.0,37.0688660745,215.465192227053,17.8838802661978,24.5822885938719,71.9690094496199,73.915,0,0,2960.0,0.0,379.0,1
24,CHL,0.3,0.862530028020963,19116209.0,39166118109.4101,32.54222253,31.5448682321507,26.2969679649314,3.77685121790114,3369646463.17556,252940023046.011,-5.77150166876176,4.6248722447118,100.0,13.3894047585,25.1894551949344,9.92936791179752,31.4258558764694,56.4789467697315,87.727,0,0,0.0,0.0,0.0,0
25,CHN,0.5,0.31409109311522,1402112000.0,3357240875433.72,66.82551893,18.4969112496804,16.0099766083437,6.69006970167277,273980396749.08,14722730697890.1,2.29999999995441,7.40521134749736,100.0,22.3206821602,147.774419499208,26.1759067199929,37.8209172526162,54.5260161998263,61.428,1,0,48528.0,12565.0,0.0,1
26,CIV,29.8,2.54058456481746,26378275.0,,45.7072932,23.7762775609114,22.6246368942578,7.23590098153217,-1348827419.86918,61348579465.1017,1.81644146095073,0.39530538358065,68.5501098632813,20.82616179,78.8340440251572,11.7846368977564,21.1872727204344,43.1118666133044,51.706,0,0,0.0,0.0,0.0,0
27,COL,4.9,1.07376749290975,50882884.0,58499477956.7248,62.78727045,13.6821330516426,19.9709695012141,2.2580137022641,-9083483971.43088,271346896626.418,-6.8473142056573,1.6006506184645,99.7662734985352,27.4043053413,44.7598521856692,11.0167371489331,23.7848607699033,59.6810857308831,81.425,0,0,0.0,0.0,0.0,0
28,COM,19.1,2.17435502569656,869595.0,294339897.88933,26.80743499,12.8095669291611,29.2661002614576,4.6913729905816,-37401621.4336349,1219690024.50287,4.91077747534176,0.31237910327974,84.0482406616211,5.0,447.24449220849,,8.85391147203463,53.3187207772605,29.38,0,0,0.0,0.0,0.0,0
29,CPV,3.4,1.09448034644791,555988.0,735084797.415375,139.0414188,24.8509820217494,59.8417545432132,2.77272582273854,-283996435.531951,1703698676.69742,-14.7834050101145,1.14020052817031,95.5335388183594,1.4814814815,134.929032258065,7.34710771294618,23.0872476526782,58.861559176152,66.652,1,1,0.0,0.0,0.0,0
30,CRI,1.0,0.91805992540637,5094114.0,7231533677.41305,68.34716842,30.9575976968177,28.5790642276807,2.87898186287011,-1289119392.26517,61520669890.4037,-4.53996591674169,1.65218405330354,99.71,7.5140889167,97.9131022326675,12.703419032201,19.6826407912712,68.8457833771126,80.771,0,0,0.0,0.0,0.0,0
31,CYP,0.0,0.7304469214141,1207361.0,1237326347.35603,118.2012552,67.6522381685836,73.8713191015657,3.27462324276895,-2850224165.07912,23804340376.9275,-5.10347951905253,6.07940050216016,100.0,5.4662379421,128.708008658009,5.41560504205713,12.5164653778424,74.0727710681503,66.821,0,0,0.0,0.0,0.0,0
32,CZE,0.0,0.252925088481678,10698896.0,166116998583.293,37.57008868,71.4949098621984,64.5921971919544,5.50770869901654,8844653540.31461,243530379896.813,-5.60230376385736,9.64070499819002,100.0,59.3228655545,137.693367875648,21.8407186609726,31.4886010387444,57.4985921911768,74.061,0,0,3934.0,0.0,0.0,1
33,DEU,0.0,0.177430343551393,83240525.0,268408603348.679,68.9262746,43.8173235340898,37.9967769331649,3.6030941551038,266121607028.824,3806060140124.52,-4.89654544989574,8.55838981170216,100.0,80.8177528982,237.294012250272,17.821368873097,26.1908991876311,63.5926991834297,77.453,0,0,8113.0,0.0,18262.0,1
34,DJI,17.0,1.4728347321268,988002.0,686339280.94212,42.23550047,153.443249997671,140.331869996657,3.41189662230203,448272563.583165,3384404260.07202,0.499999999999986,0.51098993349831,61.275936126709,0.0,41.368550474547,2.76548859786005,16.219937498584,70.2489814424119,78.062,0,0,0.0,0.0,0.0,0
35,DNK,0.2,0.291641177476633,5831404.0,72823350926.5649,43.42035958,54.3470372544636,47.8573987097178,2.60694961697757,26022796379.9055,355184024841.254,-2.73328894458554,5.76149416359606,100.0,4.4393469167,144.8409,13.4471830996993,20.8177014186482,64.9967030078473,88.116,0,0,0.0,0.0,0.0,0
36,DOM,0.6,1.00939108305127,10847904.0,10844812012.4981,69.40465941,18.2956971595932,25.9979593928743,2.45204024490278,-1541000000.0,78844702329.0785,-6.72023937283404,2.36375764821923,100.0,7.2693023717,219.978203270544,14.4450594216924,30.2824717113219,57.2042451585214,82.54,0,0,0.0,0.0,0.0,0
37,DZA,0.4,1.83653350440444,43851043.0,59434389109.5108,53.06726236,17.0905671583236,28.1404837091377,4.13270236532592,-17147722730.2744,145163902228.168,-5.48099193515836,3.59165741835207,99.5,1.8256547505,17.7300617489475,23.8355614515158,34.2486109235704,47.7797680484845,73.733,0,0,0.0,0.0,0.0,0
38,ECU,3.6,1.53874114229084,17643060.0,6569460538.88405,64.58240173,22.5325811136162,20.7534368924139,3.62322732622132,2473564920.44676,98808010000.0,-7.75012337710913,2.31381230047905,100.0,5.5353901996,68.7886898051216,15.5704421129421,32.0045044931074,52.6344605057829,64.166,0,0,0.0,0.0,0.0,0
39,EGY,3.8,1.92024763689114,102334403.0,38972812936.6708,90.18616838,13.1838487972509,20.7749140893471,3.51107011031528,-14235956908.6917,363069245165.315,3.5696694750486,2.50204214229022,100.0,6.9677419355,98.8734763172435,16.1925773195876,31.8041443298969,51.6524089347079,42.783,0,0,0.0,0.0,0.0,0
40,ESP,0.9,0.461546666660309,47351567.0,81287702460.7527,117.0826622,30.631596026738,29.1407312841781,3.3273590424132,8664910484.11465,1281199091016.35,-10.8389473393255,5.52035039972218,100.0,19.1119938493,93.6697920792501,11.1654830444558,20.578266164333,67.5415307863614,80.81,0,0,7121.0,0.0,1067.0,1
41,EST,0.2,0.312947615313683,1331057.0,1996892748.8784,18.4982256,69.8168170308201,69.6803349483357,6.31701835765886,-391484869.900061,31029968591.2779,-2.9322480563053,12.1030850007224,100.0,96.4199675052,30.4112491373361,12.6353373085577,21.8782419923984,63.8507485717197,69.229,0,0,0.0,0.0,0.0,0
42,ETH,30.8,2.54138646419898,114963583.0,3046114358.80766,55.26328431,7.08963417832595,16.9285986719216,13.6692641670453,-4611293722.98811,107645054311.876,6.05661779202561,0.149050931014413,48.2716217041016,0.484447436,96.7186507391537,5.30390638312753,23.1050196941692,36.813330393507,21.695,0,0,0.0,0.0,0.0,0
43,FIN,0.1,0.164906516324292,5530719.0,13479975777.3892,67.09779645,35.8605616780437,35.4744027591202,6.36568443250672,-462884410.984844,271233883403.892,-2.7735767057801,8.04275204989552,100.0,75.8971612212,18.1479501184522,13.8330799647951,23.5978051687182,60.5599935991106,85.517,0,0,2794.0,1600.0,0.0,1
44,FRA,0.0,0.211906588145578,67391582.0,224236417867.711,113.4614329,28.0434779746962,30.2580972703621,4.10185369917219,-48911340953.4187,2603004395901.95,-8.11490709749263,4.61924120513374,100.0,68.651183902,122.547844334015,9.28599919173197,16.2941481306937,71.0344294974828,80.975,1,0,61370.0,1630.0,5549.0,1
45,GAB,3.4,2.41695722640636,2225728.0,1371973832.67956,72.50404185,47.9343790360916,22.6644039959844,6.53637696906845,140995975.044941,15593181270.9135,-1.32393655297315,2.17527220393767,90.6852569580078,10.1365923796,8.22476423332169,33.1397489518146,41.4690619817209,46.217558519855,90.092,0,0,0.0,0.0,0.0,0
46,GBR,0.3,0.565404594994568,67215293.0,180054101389.553,103.6586284,27.3663507160616,27.7241566088505,3.01731446844954,-95421171027.8977,2707743777173.91,-9.79024036173693,5.39870813789348,100.0,11.9952494062,274.708981936924,8.38867085314239,16.9163069431957,72.7900857891355,83.903,0,0,8923.0,3260.0,4715.0,1
47,GHA,12.7,2.13076347294538,31072945.0,7884091538.70727,78.00913661,35.8426561307871,35.2694273246958,3.74524032187346,-1863971933.06699,72354428864.9032,0.414443468055197,0.541201382411755,83.5,6.4864126724,130.821429199262,9.92052399917336,34.6854824024051,42.632634973556,57.349,0,0,0.0,0.0,0.0,0
48,GIN,36.1,2.79160707922075,13132792.0,1417701130.96454,41.37881497,53.1407223701493,37.0871714336868,10.6160385122455,-314620000.0,15681050917.1588,6.98855997075241,0.25132323293185,42.4183883666992,9.7926468026,50.5221064626404,8.63539665944386,32.7303708682801,36.1897289759232,36.875,0,0,0.0,0.0,0.0,0
49,GMB,10.3,2.89536550569189,2416664.0,191773260.980301,75.82727494,20.6373775940739,34.9013148493857,4.49808095319411,-78645905.1960736,1901930157.64528,0.0,0.249989912687734,59.9212875366211,20.8661417323,225.305533596838,3.96697288873994,15.7929936821528,54.5248856884206,62.582,0,0,0.0,0.0,0.0,0
